ObjectID,GlobalID,Type,Is the obstruction permanent?,Is there a clear alternate route?,Describe the obstruction.,CreationDate,Creator,EditDate,Editor,Picture,x,y
1,b264d58d-dd48-4665-8e54-5b34e3857823,Stairs,yes,yes,Ramp nearby,2/26/2018 7:40:30 PM,,5/21/2018 3:24:00 PM,,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/1/attachments/1?token=,-75.1971554683166,39.9514992802455
8,aa3d1f77-30e4-4375-8be9-87ee760d5c05,Stairs,yes,yes,Staircase,3/9/2018 8:51:03 PM,,5/21/2018 3:24:01 PM,,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/8/attachments/2?token=,-75.1947832596488,39.9516134372651
10,cc544fff-b259-4700-81f5-40896445386a,Curb cut,yes,no,"The concrete is broken up, thereby creating a high, uneven curb for a wheelchair or scooter.",3/16/2018 1:59:37 PM,,3/16/2018 1:59:37 PM,,,-75.3831595238019,40.6314257029097
11,8360dc3e-ddd7-4fcf-bdd3-610d9a869a7e,Stairs VPL,yes,no,Shallow long stairs from courtyard to locust walk in front of van pelt. Alternate route goes around building.,3/24/2018 5:48:37 PM,amcgr_UPenn,5/21/2018 3:24:02 PM,,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/11/attachments/3?token=,-75.1942062630565,39.9523281190241
12,9065a22a-7574-43bc-9328-b0ab5a7cd76d,Steps on walkway,yes,yes,There are multiple steps on the walkway from College Green towards 36th street,3/28/2018 8:54:34 PM,,5/21/2018 3:24:02 PM,,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/12/attachments/4?token=,-75.1941625195347,39.9524441758926
14,39bfb141-fb17-45e5-9246-ad75b47ec95b,Stairs,yes,yes,The alternate route is a ramp between the Anneberg School of Communication and Public Policy Center which leads to Wlanut street. There is another ramp which leads to the Locust Walk.,4/20/2018 8:33:05 PM,madhurap_UPenn,5/21/2018 3:24:03 PM,,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/14/attachments/6?token=,-75.1955758260715,39.9525267910321
15,dfad7a27-ef21-46c4-979c-6b5ac2a2b280,Stairs,yes,no,,4/20/2018 8:37:13 PM,madhurap_UPenn,4/20/2018 8:37:13 PM,madhurap_UPenn,,-75.1947778688897,39.9525823062255
16,e4e0a3e9-bffc-4bb0-b3e6-ce27181ef515,Stairs,yes,no,,4/20/2018 8:45:12 PM,madhurap_UPenn,5/21/2018 3:24:04 PM,,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_5720cc53888e4e04866aa52501ab9b46/FeatureServer/0/16/attachments/9?token=,-75.192488100581,39.9518328473072
